parkcode,quarter,restype,nightsinpark,nightsinhalo,VMTinPark,VMTimHalo,parkVMT_Sun,haloVMT_Sun,parkVMT_Mon,haloVMT_Mon,parkVMT_Tue,haloVMT_Tue,parkVMT_Wed,haloVMT_Wed,parkVMT_Thu,haloVMT_Thu,parkVMT_Fri,haloVMT_Fri,parkVMT_Sat,haloVMT_Sat
zion,3,2,7,15,128.10167243,18203.06281406,18.83094625,2675.85029067,18.44107158,2620.44966354,18.06790584,2567.42334899,18.01777909,2560.30041122,18.04005764,2563.46616134,18.12360222,2575.33772430,18.58031254,2640.23560180
zion,3,2,8,0,7667.92800969,104794.81091011,1176.60098198,16080.18193013,1116.96154046,15265.11115887,1059.87807500,14484.97199210,1052.21014681,14380.17717865,1055.61811490,14426.75265129,1068.39799522,14601.41067371,1138.26134100,15556.20786290
zion,3,2,8,1,2759.12007530,134251.60957216,418.55853530,20365.97013943,416.90306318,20285.41916986,393.17462940,19130.85527270,376.61990817,18325.34557701,373.30896392,18164.24363787,379.37902837,18459.59719296,401.17607800,19520.18495895
zion,3,2,8,2,1491.89487478,90080.22768183,221.74983061,13389.19756857,223.37735231,13487.46690852,220.39356254,13307.30645194,209.67904473,12660.36663058,201.13455584,12144.45259583,201.94831669,12193.58726581,213.61222215,12897.85086880
zion,3,2,8,3,765.07942948,51498.64771770,111.95662589,7535.96896517,112.53043548,7574.59295189,112.27540899,7557.42673557,111.31905968,7493.05342436,106.09101679,7141.14598977,103.22196886,6948.02605616,107.68493231,7248.43484178
zion,3,2,8,4,410.80510785,30400.01262299,59.09273480,4372.92489676,59.59834109,4410.34029695,59.37713834,4393.97105937,59.47193952,4400.98644690,58.90313244,4358.89412170,56.88070729,4209.23252095,57.48111476,4253.66330867
zion,3,2,8,5,236.78397223,19148.83508514,33.82628138,2735.54784001,33.82628138,2735.54784001,33.82628138,2735.54784001,33.82628138,2735.54784001,33.82628138,2735.54784001,33.82628138,2735.54784001,33.82628138,2735.54784001
zion,3,2,8,6,149.39178493,13131.09572348,21.72156530,1909.26129774,21.21363323,1864.61557276,21.05428200,1850.60907081,21.12399816,1856.73691541,21.09411981,1854.11069630,21.27338995,1869.86801100,21.91079489,1925.89401882
zion,3,2,8,7,101.88200485,9681.42222040,15.16131551,1440.71661197,14.71558175,1398.36039070,14.28895086,1357.81943606,14.23164223,1352.37363618,14.25711274,1354.79399169,14.35262711,1363.87032481,14.87477238,1413.48761258
zion,3,2,8,8,56.40866907,5765.64192585,8.35180085,853.65412645,8.33189191,851.61919408,8.04653041,822.45183021,7.84744100,802.10250657,7.80762312,798.03264185,7.88062257,805.49406051,8.14275696,832.28733663
zion,3,2,8,9,37.47034166,4100.25183832,5.48524181,600.23132531,5.51022204,602.96482660,5.46442496,597.95340757,5.29997179,579.95785740,5.16882559,565.60697561,5.18131570,566.97372626,5.36034067,586.56381885
zion,3,2,8,10,26.93024785,3141.53001546,3.90630314,455.68717513,3.91905957,457.17526823,3.91339005,456.51389352,3.89212933,454.03373836,3.77590405,440.47555680,3.71212189,433.03509132,3.81133859,444.60914874
zion,3,2,8,11,20.90706707,2590.04848482,3.00016427,371.67197523,3.01688992,373.74401411,3.00957245,372.83749710,3.01270851,373.22600439,2.99389215,370.89496064,2.92698953,362.60680510,2.94685124,365.06735128
zion,3,2,8,12,16.08664789,2109.07862474,2.29809253,301.29694316,2.29809253,301.29694316,2.29809253,301.29694316,2.29809253,301.29694316,2.29809253,301.29694316,2.29809253,301.29694316,2.29809253,301.29694316
zion,3,2,8,13,12.08795419,1671.99854120,1.74780830,241.75579070,1.71978622,237.87979406,1.71099498,236.66379511,1.71484115,237.19579465,1.71319279,236.96779485,1.72308294,238.33579366,1.75824789,243.19978945
zion,3,2,8,14,10.56843253,1537.88284919,1.55355962,226.06878365,1.52139482,221.38827053,1.49060852,216.90835083,1.48647304,216.30657057,1.48831103,216.57402846,1.49520349,217.57699556,1.53288225,223.05988236
zion,3,2,8,15,64.02772589,9777.72380924,9.38272989,1432.84397791,9.36672296,1430.39954690,9.13729027,1395.36270240,8.97722095,1370.91839228,8.94520709,1366.02953026,9.00389917,1374.99244397,9.21465711,1407.17745229
zion,3,2,9,0,5896.74385411,87333.30488220,894.53608516,13248.46297990,890.99803868,13196.06299448,840.28603912,12444.99653682,804.90557432,11920.99668264,797.82948136,11816.19671180,810.80231845,12008.32999167,857.38659711,12698.26313301
zion,3,2,9,1,2017.62402411,104741.13311963,299.89230015,15568.34125517,302.09334456,15682.60431026,298.05809648,15473.12204260,283.56788748,14720.89026330,272.01240436,14121.00922411,273.11292656,14178.14075165,288.88707813,14997.02597975
zion,3,2,9,2,1066.77442610,68637.69095184,156.10466147,10043.98235250,156.90474230,10095.46062196,156.54915082,10072.58139108,155.21568276,9986.78427532,147.92605733,9517.76004246,143.92565314,9260.36869515,150.14850411,9660.75523540
zion,3,2,9,3,540.76511317,38766.59341135,77.78698174,5576.42536513,78.45253880,5624.13809553,78.16135758,5603.26377598,78.28614953,5612.20991293,77.53739784,5558.53309123,74.87516959,5367.68216965,75.66551860,5424.34103699
zion,3,2,9,4,288.65772381,22743.27104698,41.23681725,3249.03868620,41.23681725,3249.03868620,41.23681725,3249.03868620,41.23681725,3249.03868620,41.23681725,3249.03868620,41.23681725,3249.03868620,41.23681725,3249.03868620
